	manual_annotation
6718-MTL_WM	Astrocytes
6734-MTL_WM	Oligodendrocytes
6768-MTL_WM	Oligodendrocytes
6776-MTL_WM	Oligodendrocytes
6805-MTL_WM	Oligodendrocytes
6811-MTL_WM	Astrocytes
6832-MTL_WM	Oligodendrocytes
6836-MTL_WM	Microglia
6893-MTL_WM	Oligodendrocytes
6935-MTL_WM	Oligodendrocytes
6969-MTL_WM	Oligodendrocytes
6977-MTL_WM	Oligodendrocytes
6988-MTL_WM	Oligodendrocytes
6993-MTL_WM	Oligodendrocytes
7002-MTL_WM	Oligodendrocytes
7008-MTL_WM	OPCs
7034-MTL_WM	Astrocytes
7056-MTL_WM	Oligodendrocytes
7130-MTL_WM	Oligodendrocytes
7136-MTL_WM	OPCs
7150-MTL_WM	Oligodendrocytes
7176-MTL_WM	Oligodendrocytes
7179-MTL_WM	Astrocytes
7195-MTL_WM	Oligodendrocytes
7205-MTL_WM	Oligodendrocytes
7220-MTL_WM	Oligodendrocytes
7249-MTL_WM	Oligodendrocytes
7256-MTL_WM	Oligodendrocytes
7265-MTL_WM	Oligodendrocytes
7293-MTL_WM	Microglia
7294-MTL_WM	Oligodendrocytes
7301-MTL_WM	Oligodendrocytes
7357-MTL_WM	Astrocytes
7373-MTL_WM	Oligodendrocytes
7433-MTL_WM	Oligodendrocytes
7470-MTL_WM	Oligodendrocytes
7502-MTL_WM	Oligodendrocytes
7556-MTL_WM	Astrocytes
7557-MTL_WM	Astrocytes
7615-MTL_WM	Oligodendrocytes
7646-MTL_WM	Astrocytes
7694-MTL_WM	OPCs
7724-MTL_WM	Oligodendrocytes
7754-MTL_WM	OPCs
7782-MTL_WM	Microglia
7800-MTL_WM	Astrocytes
7806-MTL_WM	Oligodendrocytes
7813-MTL_WM	Oligodendrocytes
7840-MTL_WM	Oligodendrocytes
7842-MTL_WM	Oligodendrocytes
7856-MTL_WM	Oligodendrocytes
7863-MTL_WM	Oligodendrocytes
7876-MTL_WM	OPCs
7878-MTL_WM	Oligodendrocytes
7887-MTL_WM	OPCs
7893-MTL_WM	Oligodendrocytes
7906-MTL_WM	Oligodendrocytes
7907-MTL_WM	Oligodendrocytes
7911-MTL_WM	Astrocytes
7920-MTL_WM	Astrocytes
7935-MTL_WM	OPCs
7955-MTL_WM	Oligodendrocytes
8041-MTL_WM	Microglia
8069-MTL_WM	Oligodendrocytes
8070-MTL_WM	Oligodendrocytes
8096-MTL_WM	Oligodendrocytes
8116-MTL_WM	Microglia
8134-MTL_WM	Microglia
8147-MTL_WM	Oligodendrocytes
8163-MTL_WM	Oligodendrocytes
8205-MTL_WM	Oligodendrocytes
8218-MTL_WM	Oligodendrocytes
8257-MTL_WM	Oligodendrocytes
8267-MTL_WM	OPCs
8274-MTL_WM	Oligodendrocytes
8320-MTL_WM	Oligodendrocytes
8330-MTL_WM	Astrocytes
8347-MTL_WM	Microglia
8354-MTL_WM	Oligodendrocytes
8375-MTL_WM	Oligodendrocytes
8381-MTL_WM	Microglia
8414-MTL_WM	Oligodendrocytes
8440-MTL_WM	OPCs
8452-MTL_WM	Astrocytes
8460-MTL_WM	Oligodendrocytes
8478-MTL_WM	Oligodendrocytes
8481-MTL_WM	Oligodendrocytes
8498-MTL_WM	Microglia
8502-MTL_WM	Astrocytes
8532-MTL_WM	Oligodendrocytes
8554-MTL_WM	Astrocytes
8572-MTL_WM	Oligodendrocytes
8586-MTL_WM	Oligodendrocytes
8613-MTL_WM	Oligodendrocytes
8615-MTL_WM	OPCs
8627-MTL_WM	Oligodendrocytes
8651-MTL_WM	Astrocytes
8681-MTL_WM	Astrocytes
8685-MTL_WM	Oligodendrocytes
8721-MTL_WM	Oligodendrocytes
8724-MTL_WM	Microglia
8727-MTL_WM	Oligodendrocytes
8747-MTL_WM	Oligodendrocytes
8749-MTL_WM	Exc. Neurons
8760-MTL_WM	Astrocytes
8772-MTL_WM	Astrocytes
8785-MTL_WM	Oligodendrocytes
8800-MTL_WM	Oligodendrocytes
8827-MTL_WM	Oligodendrocytes
8860-MTL_WM	Oligodendrocytes
8866-MTL_WM	Oligodendrocytes
8880-MTL_WM	Oligodendrocytes
8895-MTL_WM	Oligodendrocytes
8896-MTL_WM	Oligodendrocytes
8980-MTL_WM	Oligodendrocytes
9003-MTL_WM	Oligodendrocytes
9024-MTL_WM	Oligodendrocytes
9049-MTL_WM	Oligodendrocytes
9071-MTL_WM	Oligodendrocytes
9076-MTL_WM	Oligodendrocytes
9080-MTL_WM	Oligodendrocytes
9112-MTL_WM	Exc. Neurons
9132-MTL_WM	Oligodendrocytes
