	manual_annotation
116706-Sample_108	Oligodendrocytes
116719-Sample_108	Astrocytes
116747-Sample_108	Oligodendrocytes
116806-Sample_108	Oligodendrocytes
116831-Sample_108	Oligodendrocytes
116902-Sample_108	Oligodendrocytes
116949-Sample_108	Oligodendrocytes
116994-Sample_108	Oligodendrocytes
117017-Sample_108	Oligodendrocytes
117089-Sample_108	VLMCs
117154-Sample_108	Astrocytes
117170-Sample_108	Astrocytes
117194-Sample_108	Oligodendrocytes
117205-Sample_108	Astrocytes
117243-Sample_108	Oligodendrocytes
117256-Sample_108	Astrocytes
117282-Sample_108	Oligodendrocytes
117284-Sample_108	Oligodendrocytes
117350-Sample_108	Oligodendrocytes
117394-Sample_108	Astrocytes
117398-Sample_108	Oligodendrocytes
117409-Sample_108	Oligodendrocytes
117416-Sample_108	Oligodendrocytes
117437-Sample_108	Oligodendrocytes
117472-Sample_108	Oligodendrocytes
117477-Sample_108	Astrocytes
117496-Sample_108	Oligodendrocytes
117500-Sample_108	Oligodendrocytes
117533-Sample_108	Microglia
117547-Sample_108	Astrocytes
117556-Sample_108	Oligodendrocytes
117588-Sample_108	Oligodendrocytes
117597-Sample_108	Oligodendrocytes
117617-Sample_108	Astrocytes
117620-Sample_108	Astrocytes
117651-Sample_108	Oligodendrocytes
117680-Sample_108	Microglia
117728-Sample_108	Exc. Neurons
117753-Sample_108	Astrocytes
117803-Sample_108	Oligodendrocytes
117830-Sample_108	Oligodendrocytes
117831-Sample_108	Oligodendrocytes
117890-Sample_108	Oligodendrocytes
117893-Sample_108	Endothelial
117940-Sample_108	Oligodendrocytes
117943-Sample_108	Astrocytes
117950-Sample_108	Inh. Neurons
117951-Sample_108	Astrocytes
118004-Sample_108	Oligodendrocytes
118009-Sample_108	Astrocytes
118025-Sample_108	Astrocytes
118048-Sample_108	Astrocytes
118096-Sample_108	Astrocytes
118109-Sample_108	Oligodendrocytes
118112-Sample_108	Astrocytes
118121-Sample_108	Oligodendrocytes
118127-Sample_108	Astrocytes
118209-Sample_108	Oligodendrocytes
118211-Sample_108	Astrocytes
118229-Sample_108	VLMCs
118254-Sample_108	Oligodendrocytes
118318-Sample_108	Astrocytes
118344-Sample_108	Oligodendrocytes
118363-Sample_108	Astrocytes
118374-Sample_108	Astrocytes
118377-Sample_108	Oligodendrocytes
118382-Sample_108	Oligodendrocytes
118385-Sample_108	OPCs
118390-Sample_108	Oligodendrocytes
118396-Sample_108	Oligodendrocytes
118401-Sample_108	Astrocytes
118413-Sample_108	Astrocytes
118416-Sample_108	Oligodendrocytes
118421-Sample_108	Astrocytes
118441-Sample_108	Oligodendrocytes
118453-Sample_108	Astrocytes
118534-Sample_108	Exc. Neurons
118536-Sample_108	Oligodendrocytes
118543-Sample_108	Inh. Neurons
118568-Sample_108	Endothelial
118604-Sample_108	Oligodendrocytes
118612-Sample_108	VLMCs
118679-Sample_108	Oligodendrocytes
118740-Sample_108	Astrocytes
118742-Sample_108	Endothelial
118769-Sample_108	Exc. Neurons
118790-Sample_108	Oligodendrocytes
118814-Sample_108	Oligodendrocytes
118857-Sample_108	Oligodendrocytes
118878-Sample_108	OPCs
118901-Sample_108	Oligodendrocytes
118951-Sample_108	Microglia
118995-Sample_108	Astrocytes
119050-Sample_108	Exc. Neurons
119083-Sample_108	Astrocytes
119088-Sample_108	Oligodendrocytes
119107-Sample_108	Oligodendrocytes
119118-Sample_108	OPCs
119145-Sample_108	Oligodendrocytes
119160-Sample_108	Astrocytes
119202-Sample_108	Oligodendrocytes
119220-Sample_108	Oligodendrocytes
119223-Sample_108	Oligodendrocytes
119236-Sample_108	Astrocytes
119263-Sample_108	Astrocytes
119295-Sample_108	Oligodendrocytes
119307-Sample_108	Oligodendrocytes
119312-Sample_108	OPCs
119333-Sample_108	Oligodendrocytes
119348-Sample_108	Oligodendrocytes
119370-Sample_108	Astrocytes
119384-Sample_108	Oligodendrocytes
119390-Sample_108	Inh. Neurons
119421-Sample_108	Astrocytes
119464-Sample_108	Oligodendrocytes
119484-Sample_108	Oligodendrocytes
119495-Sample_108	Oligodendrocytes
119502-Sample_108	Oligodendrocytes
119551-Sample_108	Microglia
119578-Sample_108	Oligodendrocytes
119638-Sample_108	Astrocytes
119684-Sample_108	Oligodendrocytes
119695-Sample_108	Oligodendrocytes
119707-Sample_108	Oligodendrocytes
119722-Sample_108	Oligodendrocytes
119753-Sample_108	Endothelial
119773-Sample_108	Astrocytes
119881-Sample_108	Oligodendrocytes
119924-Sample_108	Oligodendrocytes
120020-Sample_108	Oligodendrocytes
120042-Sample_108	Astrocytes
120063-Sample_108	Oligodendrocytes
120086-Sample_108	Oligodendrocytes
120092-Sample_108	Astrocytes
120096-Sample_108	Astrocytes
120117-Sample_108	Astrocytes
120124-Sample_108	Astrocytes
120134-Sample_108	Astrocytes
120225-Sample_108	Oligodendrocytes
120290-Sample_108	Inh. Neurons
120398-Sample_108	Microglia
120435-Sample_108	Oligodendrocytes
120495-Sample_108	Astrocytes
120497-Sample_108	Exc. Neurons
120516-Sample_108	Exc. Neurons
120554-Sample_108	Oligodendrocytes
120581-Sample_108	Astrocytes
120589-Sample_108	Oligodendrocytes
120594-Sample_108	Astrocytes
120597-Sample_108	Astrocytes
120612-Sample_108	Astrocytes
120618-Sample_108	Oligodendrocytes
120643-Sample_108	Oligodendrocytes
120776-Sample_108	Astrocytes
120797-Sample_108	Oligodendrocytes
120851-Sample_108	Astrocytes
120913-Sample_108	Astrocytes
120942-Sample_108	Astrocytes
120954-Sample_108	Astrocytes
121001-Sample_108	Oligodendrocytes
121042-Sample_108	Oligodendrocytes
121049-Sample_108	Astrocytes
121109-Sample_108	Astrocytes
121150-Sample_108	Astrocytes
121159-Sample_108	Oligodendrocytes
121174-Sample_108	Oligodendrocytes
121182-Sample_108	Oligodendrocytes
121274-Sample_108	Astrocytes
121284-Sample_108	Oligodendrocytes
121286-Sample_108	Oligodendrocytes
121287-Sample_108	Oligodendrocytes
121308-Sample_108	Exc. Neurons
121350-Sample_108	Oligodendrocytes
121366-Sample_108	Inh. Neurons
121382-Sample_108	Oligodendrocytes
121415-Sample_108	Oligodendrocytes
121424-Sample_108	Oligodendrocytes
121448-Sample_108	Astrocytes
121478-Sample_108	Oligodendrocytes
121516-Sample_108	Oligodendrocytes
121522-Sample_108	Astrocytes
121555-Sample_108	Oligodendrocytes
121579-Sample_108	Oligodendrocytes
121591-Sample_108	Astrocytes
121651-Sample_108	Oligodendrocytes
121657-Sample_108	Astrocytes
121697-Sample_108	Oligodendrocytes
121750-Sample_108	Oligodendrocytes
121779-Sample_108	Oligodendrocytes
121789-Sample_108	Oligodendrocytes
121790-Sample_108	Oligodendrocytes
121799-Sample_108	Astrocytes
121805-Sample_108	Oligodendrocytes
121829-Sample_108	Astrocytes
121831-Sample_108	Microglia
121895-Sample_108	Astrocytes
121919-Sample_108	Astrocytes
121926-Sample_108	OPCs
122023-Sample_108	Oligodendrocytes
122041-Sample_108	Oligodendrocytes
122062-Sample_108	Oligodendrocytes
122067-Sample_108	Astrocytes
122081-Sample_108	Astrocytes
122107-Sample_108	Oligodendrocytes
122115-Sample_108	Astrocytes
122119-Sample_108	Astrocytes
122176-Sample_108	Astrocytes
122202-Sample_108	Oligodendrocytes
122208-Sample_108	Astrocytes
122222-Sample_108	Oligodendrocytes
122239-Sample_108	Oligodendrocytes
122254-Sample_108	Astrocytes
122257-Sample_108	Oligodendrocytes
122286-Sample_108	Oligodendrocytes
122350-Sample_108	Oligodendrocytes
122360-Sample_108	Oligodendrocytes
122361-Sample_108	Oligodendrocytes
122384-Sample_108	Oligodendrocytes
122414-Sample_108	Microglia
122423-Sample_108	Astrocytes
122432-Sample_108	Oligodendrocytes
122457-Sample_108	Oligodendrocytes
122459-Sample_108	Astrocytes
122464-Sample_108	Oligodendrocytes
122466-Sample_108	Astrocytes
122478-Sample_108	Astrocytes
122524-Sample_108	OPCs
122543-Sample_108	Oligodendrocytes
122558-Sample_108	Oligodendrocytes
122559-Sample_108	Oligodendrocytes
122680-Sample_108	Oligodendrocytes
122731-Sample_108	Astrocytes
122736-Sample_108	Oligodendrocytes
122745-Sample_108	Astrocytes
122749-Sample_108	Microglia
122755-Sample_108	Inh. Neurons
122764-Sample_108	Oligodendrocytes
122785-Sample_108	Astrocytes
122842-Sample_108	Inh. Neurons
122863-Sample_108	Oligodendrocytes
122869-Sample_108	Oligodendrocytes
122898-Sample_108	Astrocytes
122947-Sample_108	Astrocytes
122951-Sample_108	OPCs
123004-Sample_108	Oligodendrocytes
123023-Sample_108	Astrocytes
123052-Sample_108	Oligodendrocytes
123060-Sample_108	Oligodendrocytes
123077-Sample_108	Oligodendrocytes
123086-Sample_108	Astrocytes
123089-Sample_108	Astrocytes
123109-Sample_108	Oligodendrocytes
123111-Sample_108	Astrocytes
123129-Sample_108	Oligodendrocytes
123153-Sample_108	Microglia
123158-Sample_108	VLMCs
123165-Sample_108	Exc. Neurons
123171-Sample_108	Oligodendrocytes
123185-Sample_108	Astrocytes
123205-Sample_108	Inh. Neurons
123234-Sample_108	Oligodendrocytes
123239-Sample_108	Oligodendrocytes
123241-Sample_108	Astrocytes
123257-Sample_108	Oligodendrocytes
123294-Sample_108	Oligodendrocytes
123316-Sample_108	Exc. Neurons
123326-Sample_108	Oligodendrocytes
123337-Sample_108	Astrocytes
123454-Sample_108	Oligodendrocytes
123462-Sample_108	Oligodendrocytes
123503-Sample_108	Oligodendrocytes
123524-Sample_108	Oligodendrocytes
123525-Sample_108	Oligodendrocytes
123541-Sample_108	Oligodendrocytes
123558-Sample_108	Oligodendrocytes
123566-Sample_108	Microglia
123568-Sample_108	Oligodendrocytes
123573-Sample_108	Oligodendrocytes
123574-Sample_108	Oligodendrocytes
123620-Sample_108	Oligodendrocytes
123653-Sample_108	Oligodendrocytes
123655-Sample_108	Oligodendrocytes
123658-Sample_108	Oligodendrocytes
123671-Sample_108	Astrocytes
123674-Sample_108	Astrocytes
123691-Sample_108	Astrocytes
123710-Sample_108	Oligodendrocytes
123717-Sample_108	Astrocytes
123733-Sample_108	Oligodendrocytes
123735-Sample_108	Oligodendrocytes
123746-Sample_108	Astrocytes
123787-Sample_108	Oligodendrocytes
123848-Sample_108	Oligodendrocytes
123884-Sample_108	Astrocytes
123908-Sample_108	Oligodendrocytes
123920-Sample_108	Astrocytes
123976-Sample_108	Oligodendrocytes
123988-Sample_108	Astrocytes
124016-Sample_108	Oligodendrocytes
124063-Sample_108	Endothelial
124108-Sample_108	Astrocytes
124164-Sample_108	Oligodendrocytes
124179-Sample_108	Oligodendrocytes
124200-Sample_108	Oligodendrocytes
124216-Sample_108	Astrocytes
124222-Sample_108	Oligodendrocytes
124232-Sample_108	Astrocytes
124240-Sample_108	Astrocytes
124245-Sample_108	Astrocytes
124286-Sample_108	Oligodendrocytes
124304-Sample_108	Oligodendrocytes
124335-Sample_108	Astrocytes
124340-Sample_108	Oligodendrocytes
124433-Sample_108	Oligodendrocytes
124480-Sample_108	Oligodendrocytes
124502-Sample_108	Oligodendrocytes
124513-Sample_108	Oligodendrocytes
124546-Sample_108	Astrocytes
124606-Sample_108	Oligodendrocytes
124612-Sample_108	Astrocytes
124680-Sample_108	Astrocytes
124687-Sample_108	Exc. Neurons
124770-Sample_108	Oligodendrocytes
124783-Sample_108	Inh. Neurons
124914-Sample_108	Astrocytes
124929-Sample_108	Oligodendrocytes
124939-Sample_108	Astrocytes
124956-Sample_108	Oligodendrocytes
124969-Sample_108	Oligodendrocytes
124986-Sample_108	Oligodendrocytes
125002-Sample_108	Astrocytes
125007-Sample_108	Astrocytes
125038-Sample_108	Oligodendrocytes
125058-Sample_108	Oligodendrocytes
125071-Sample_108	Oligodendrocytes
125074-Sample_108	Astrocytes
125117-Sample_108	Astrocytes
125146-Sample_108	Oligodendrocytes
125226-Sample_108	OPCs
125288-Sample_108	Oligodendrocytes
125298-Sample_108	Astrocytes
125319-Sample_108	Astrocytes
125333-Sample_108	Astrocytes
125334-Sample_108	Oligodendrocytes
125433-Sample_108	VLMCs
125453-Sample_108	Oligodendrocytes
125500-Sample_108	Astrocytes
125589-Sample_108	Oligodendrocytes
125592-Sample_108	Oligodendrocytes
125605-Sample_108	Oligodendrocytes
125624-Sample_108	Astrocytes
125637-Sample_108	Astrocytes
125671-Sample_108	Oligodendrocytes
125725-Sample_108	Oligodendrocytes
125727-Sample_108	Microglia
125731-Sample_108	Oligodendrocytes
125740-Sample_108	Oligodendrocytes
125921-Sample_108	Oligodendrocytes
125927-Sample_108	Astrocytes
125991-Sample_108	Astrocytes
125998-Sample_108	Astrocytes
126068-Sample_108	Oligodendrocytes
126093-Sample_108	Astrocytes
126094-Sample_108	Oligodendrocytes
126168-Sample_108	Astrocytes
126217-Sample_108	Astrocytes
126261-Sample_108	Oligodendrocytes
126263-Sample_108	Oligodendrocytes
126282-Sample_108	Oligodendrocytes
126310-Sample_108	Oligodendrocytes
126326-Sample_108	Oligodendrocytes
126355-Sample_108	Oligodendrocytes
126446-Sample_108	Astrocytes
126508-Sample_108	Exc. Neurons
126509-Sample_108	Oligodendrocytes
126532-Sample_108	Oligodendrocytes
126565-Sample_108	Oligodendrocytes
126590-Sample_108	Astrocytes
126617-Sample_108	Oligodendrocytes
126708-Sample_108	Oligodendrocytes
126742-Sample_108	Astrocytes
126747-Sample_108	Oligodendrocytes
126774-Sample_108	Astrocytes
126794-Sample_108	Oligodendrocytes
126807-Sample_108	Astrocytes
126809-Sample_108	Astrocytes
126859-Sample_108	Oligodendrocytes
126920-Sample_108	Oligodendrocytes
126937-Sample_108	Astrocytes
126947-Sample_108	Astrocytes
126970-Sample_108	Endothelial
127041-Sample_108	Oligodendrocytes
127044-Sample_108	Astrocytes
127107-Sample_108	Oligodendrocytes
127135-Sample_108	Oligodendrocytes
127161-Sample_108	Oligodendrocytes
127164-Sample_108	Oligodendrocytes
127232-Sample_108	Astrocytes
127271-Sample_108	Inh. Neurons
127278-Sample_108	Oligodendrocytes
127299-Sample_108	Oligodendrocytes
127303-Sample_108	Astrocytes
127328-Sample_108	Inh. Neurons
127386-Sample_108	Oligodendrocytes
12-Sample_100	Oligodendrocytes
21-Sample_100	Astrocytes
27-Sample_100	Exc. Neurons
42-Sample_100	Oligodendrocytes
57-Sample_100	Oligodendrocytes
62-Sample_100	Oligodendrocytes
132-Sample_100	Exc. Neurons
226-Sample_100	Astrocytes
244-Sample_100	Exc. Neurons
253-Sample_100	Oligodendrocytes
257-Sample_100	Astrocytes
286-Sample_100	Astrocytes
292-Sample_100	Oligodendrocytes
345-Sample_100	Astrocytes
374-Sample_100	Astrocytes
398-Sample_100	Oligodendrocytes
424-Sample_100	Oligodendrocytes
428-Sample_100	Astrocytes
494-Sample_100	Astrocytes
532-Sample_100	OPCs
632-Sample_100	Oligodendrocytes
655-Sample_100	Inh. Neurons
674-Sample_100	OPCs
697-Sample_100	Astrocytes
731-Sample_100	VLMCs
832-Sample_100	Oligodendrocytes
848-Sample_100	Astrocytes
915-Sample_100	Astrocytes
918-Sample_100	Astrocytes
925-Sample_100	Oligodendrocytes
950-Sample_100	Oligodendrocytes
959-Sample_100	Inh. Neurons
1037-Sample_100	Oligodendrocytes
1039-Sample_100	Astrocytes
1064-Sample_100	Astrocytes
1068-Sample_100	Oligodendrocytes
1095-Sample_100	Oligodendrocytes
1108-Sample_100	Astrocytes
1130-Sample_100	Endothelial
1168-Sample_100	OPCs
1201-Sample_100	Exc. Neurons
1202-Sample_100	Exc. Neurons
1247-Sample_100	Astrocytes
1259-Sample_100	Oligodendrocytes
1301-Sample_100	Astrocytes
1312-Sample_100	Oligodendrocytes
1320-Sample_100	Exc. Neurons
1401-Sample_100	Oligodendrocytes
1432-Sample_100	Oligodendrocytes
1439-Sample_100	Oligodendrocytes
1448-Sample_100	Astrocytes
1488-Sample_100	Astrocytes
1551-Sample_100	Astrocytes
1560-Sample_100	Oligodendrocytes
1593-Sample_100	Astrocytes
1633-Sample_100	Endothelial
1667-Sample_100	Oligodendrocytes
1689-Sample_100	Oligodendrocytes
1699-Sample_100	Oligodendrocytes
1704-Sample_100	Endothelial
1724-Sample_100	Oligodendrocytes
1750-Sample_100	Exc. Neurons
1759-Sample_100	Oligodendrocytes
1827-Sample_100	Astrocytes
1877-Sample_100	Astrocytes
1926-Sample_100	Astrocytes
1936-Sample_100	OPCs
1961-Sample_100	OPCs
1962-Sample_100	Oligodendrocytes
2025-Sample_100	Oligodendrocytes
2111-Sample_100	Oligodendrocytes
2143-Sample_100	Astrocytes
2230-Sample_100	Exc. Neurons
2280-Sample_100	Oligodendrocytes
2308-Sample_100	Astrocytes
2335-Sample_100	Microglia
2357-Sample_100	Astrocytes
2359-Sample_100	Astrocytes
2456-Sample_100	Astrocytes
2459-Sample_100	Inh. Neurons
2500-Sample_100	Oligodendrocytes
2523-Sample_100	Oligodendrocytes
2533-Sample_100	Astrocytes
2560-Sample_100	Astrocytes
2563-Sample_100	Oligodendrocytes
2581-Sample_100	Oligodendrocytes
2623-Sample_100	Exc. Neurons
2625-Sample_100	Oligodendrocytes
2657-Sample_100	Astrocytes
2666-Sample_100	Oligodendrocytes
2711-Sample_100	Astrocytes
2744-Sample_100	Oligodendrocytes
2784-Sample_100	Astrocytes
2787-Sample_100	Oligodendrocytes
2813-Sample_100	Oligodendrocytes
2847-Sample_100	Exc. Neurons
2903-Sample_100	Inh. Neurons
2913-Sample_100	Oligodendrocytes
2964-Sample_100	Astrocytes
2968-Sample_100	Oligodendrocytes
2978-Sample_100	Astrocytes
2979-Sample_100	Astrocytes
2993-Sample_100	Astrocytes
3004-Sample_100	Astrocytes
3007-Sample_100	Astrocytes
3022-Sample_100	Astrocytes
3034-Sample_100	Oligodendrocytes
3037-Sample_100	Oligodendrocytes
3051-Sample_100	Oligodendrocytes
3086-Sample_100	Oligodendrocytes
3097-Sample_100	Oligodendrocytes
3103-Sample_100	Oligodendrocytes
3153-Sample_100	Oligodendrocytes
3182-Sample_100	Oligodendrocytes
3244-Sample_100	Astrocytes
3247-Sample_100	Astrocytes
3254-Sample_100	Oligodendrocytes
3264-Sample_100	Oligodendrocytes
3282-Sample_100	Oligodendrocytes
3298-Sample_100	Astrocytes
3326-Sample_100	Oligodendrocytes
3412-Sample_100	Oligodendrocytes
3500-Sample_100	Oligodendrocytes
3510-Sample_100	Exc. Neurons
3594-Sample_100	Oligodendrocytes
3611-Sample_100	Oligodendrocytes
3623-Sample_100	Oligodendrocytes
3636-Sample_100	Microglia
3749-Sample_100	Oligodendrocytes
3761-Sample_100	Astrocytes
3829-Sample_100	Inh. Neurons
3973-Sample_100	Oligodendrocytes
3985-Sample_100	Astrocytes
4024-Sample_100	Oligodendrocytes
4053-Sample_100	Astrocytes
4090-Sample_100	Oligodendrocytes
4112-Sample_100	Astrocytes
4122-Sample_100	Oligodendrocytes
4144-Sample_100	OPCs
4155-Sample_100	Oligodendrocytes
4160-Sample_100	Astrocytes
4218-Sample_100	Oligodendrocytes
4270-Sample_100	Oligodendrocytes
4287-Sample_100	OPCs
4314-Sample_100	Astrocytes
4315-Sample_100	Oligodendrocytes
4330-Sample_100	Astrocytes
4339-Sample_100	Oligodendrocytes
4384-Sample_100	Oligodendrocytes
4410-Sample_100	Astrocytes
4426-Sample_100	Oligodendrocytes
4499-Sample_100	Oligodendrocytes
4545-Sample_100	Astrocytes
4558-Sample_100	Oligodendrocytes
4617-Sample_100	Oligodendrocytes
4650-Sample_100	Oligodendrocytes
4877-Sample_100	Inh. Neurons
4971-Sample_100	Oligodendrocytes
4993-Sample_100	Astrocytes
5010-Sample_100	Oligodendrocytes
5019-Sample_100	Oligodendrocytes
5027-Sample_100	Astrocytes
5046-Sample_100	Astrocytes
5058-Sample_100	Oligodendrocytes
5109-Sample_100	Inh. Neurons
5123-Sample_100	Oligodendrocytes
5128-Sample_100	Oligodendrocytes
5133-Sample_100	Endothelial
5163-Sample_100	Astrocytes
5170-Sample_100	Astrocytes
5214-Sample_100	Astrocytes
5245-Sample_100	Astrocytes
5246-Sample_100	Oligodendrocytes
5258-Sample_100	Oligodendrocytes
5262-Sample_100	Oligodendrocytes
5276-Sample_100	Oligodendrocytes
5285-Sample_100	Exc. Neurons
5325-Sample_100	Oligodendrocytes
5327-Sample_100	Astrocytes
5328-Sample_100	Oligodendrocytes
5360-Sample_100	Astrocytes
5371-Sample_100	Astrocytes
5379-Sample_100	Oligodendrocytes
5392-Sample_100	VLMCs
5408-Sample_100	Astrocytes
5409-Sample_100	Astrocytes
5429-Sample_100	Astrocytes
5497-Sample_100	Oligodendrocytes
5520-Sample_100	Oligodendrocytes
5521-Sample_100	Astrocytes
5599-Sample_100	Oligodendrocytes
5639-Sample_100	Oligodendrocytes
5683-Sample_100	Oligodendrocytes
5702-Sample_100	Oligodendrocytes
5744-Sample_100	Oligodendrocytes
5819-Sample_100	Astrocytes
5851-Sample_100	OPCs
5930-Sample_100	Endothelial
5938-Sample_100	Exc. Neurons
5953-Sample_100	Astrocytes
5967-Sample_100	OPCs
6004-Sample_100	OPCs
6013-Sample_100	OPCs
6051-Sample_100	Oligodendrocytes
6056-Sample_100	Exc. Neurons
6067-Sample_100	Astrocytes
6076-Sample_100	Oligodendrocytes
6098-Sample_100	Oligodendrocytes
6204-Sample_100	Astrocytes
6221-Sample_100	Astrocytes
6230-Sample_100	Endothelial
6243-Sample_100	Oligodendrocytes
6376-Sample_100	Astrocytes
6400-Sample_100	Inh. Neurons
6447-Sample_100	Astrocytes
6479-Sample_100	Astrocytes
6522-Sample_100	Oligodendrocytes
6584-Sample_100	Astrocytes
6612-Sample_100	Astrocytes
6620-Sample_100	Oligodendrocytes
6653-Sample_100	Oligodendrocytes
6714-Sample_100	Astrocytes
6721-Sample_100	Oligodendrocytes
6789-Sample_100	Oligodendrocytes
6839-Sample_100	Oligodendrocytes
6875-Sample_100	Oligodendrocytes
6896-Sample_100	Oligodendrocytes
6963-Sample_100	Oligodendrocytes
6978-Sample_100	Astrocytes
6982-Sample_100	Astrocytes
7015-Sample_100	Oligodendrocytes
7033-Sample_100	Oligodendrocytes
7070-Sample_100	Astrocytes
7113-Sample_100	Astrocytes
7124-Sample_100	Oligodendrocytes
7188-Sample_100	Astrocytes
7225-Sample_100	Endothelial
7284-Sample_100	Exc. Neurons
7328-Sample_100	Oligodendrocytes
7330-Sample_100	Oligodendrocytes
7332-Sample_100	Oligodendrocytes
7339-Sample_100	Astrocytes
7345-Sample_100	Astrocytes
7368-Sample_100	Exc. Neurons
7386-Sample_100	Astrocytes
7392-Sample_100	Astrocytes
7404-Sample_100	VLMCs
7444-Sample_100	Oligodendrocytes
7472-Sample_100	Inh. Neurons
7482-Sample_100	Inh. Neurons
7520-Sample_100	Oligodendrocytes
7529-Sample_100	Astrocytes
7560-Sample_100	Oligodendrocytes
7588-Sample_100	Astrocytes
7598-Sample_100	VLMCs
7644-Sample_100	Astrocytes
7653-Sample_100	Astrocytes
7658-Sample_100	OPCs
7663-Sample_100	Astrocytes
7707-Sample_100	Astrocytes
7717-Sample_100	Astrocytes
7728-Sample_100	OPCs
7750-Sample_100	Oligodendrocytes
7758-Sample_100	Oligodendrocytes
7769-Sample_100	Astrocytes
7780-Sample_100	Astrocytes
7873-Sample_100	Oligodendrocytes
7890-Sample_100	Oligodendrocytes
7913-Sample_100	Astrocytes
7965-Sample_100	Astrocytes
7969-Sample_100	Oligodendrocytes
7975-Sample_100	Astrocytes
7991-Sample_100	Oligodendrocytes
8016-Sample_100	Exc. Neurons
8056-Sample_100	Oligodendrocytes
8061-Sample_100	Astrocytes
8096-Sample_100	Astrocytes
8145-Sample_100	Exc. Neurons
8156-Sample_100	Oligodendrocytes
8175-Sample_100	Oligodendrocytes
8177-Sample_100	Astrocytes
8240-Sample_100	Oligodendrocytes
8281-Sample_100	Oligodendrocytes
8283-Sample_100	Oligodendrocytes
8322-Sample_100	Oligodendrocytes
8344-Sample_100	Astrocytes
8428-Sample_100	VLMCs
8441-Sample_100	VLMCs
8443-Sample_100	Astrocytes
8582-Sample_100	Oligodendrocytes
8607-Sample_100	Oligodendrocytes
8657-Sample_100	Astrocytes
8666-Sample_100	Astrocytes
8678-Sample_100	Exc. Neurons
8714-Sample_100	OPCs
8851-Sample_100	Exc. Neurons
8992-Sample_100	Oligodendrocytes
8994-Sample_100	Astrocytes
9037-Sample_100	Exc. Neurons
9110-Sample_100	VLMCs
9140-Sample_100	Oligodendrocytes
9172-Sample_100	Astrocytes
9207-Sample_100	Oligodendrocytes
9271-Sample_100	Oligodendrocytes
9273-Sample_100	Oligodendrocytes
9288-Sample_100	Exc. Neurons
9297-Sample_100	Astrocytes
9300-Sample_100	Oligodendrocytes
9320-Sample_100	Oligodendrocytes
9325-Sample_100	Oligodendrocytes
9336-Sample_100	Oligodendrocytes
9399-Sample_100	Oligodendrocytes
9442-Sample_100	OPCs
9470-Sample_100	OPCs
9480-Sample_100	Astrocytes
9491-Sample_100	Astrocytes
9497-Sample_100	Oligodendrocytes
9504-Sample_100	Astrocytes
9547-Sample_100	Oligodendrocytes
9587-Sample_100	Oligodendrocytes
9617-Sample_100	OPCs
9677-Sample_100	Exc. Neurons
9716-Sample_100	Exc. Neurons
9742-Sample_100	Oligodendrocytes
9748-Sample_100	Endothelial
9782-Sample_100	Astrocytes
9806-Sample_100	Oligodendrocytes
9907-Sample_100	VLMCs
9951-Sample_100	VLMCs
9983-Sample_100	Oligodendrocytes
10063-Sample_100	Astrocytes
10075-Sample_100	OPCs
10100-Sample_100	Astrocytes
10155-Sample_100	Astrocytes
10169-Sample_100	Microglia
10178-Sample_100	Oligodendrocytes
10183-Sample_100	Oligodendrocytes
10186-Sample_100	Exc. Neurons
10190-Sample_100	Astrocytes
10197-Sample_100	Astrocytes
10205-Sample_100	Astrocytes
10206-Sample_100	Oligodendrocytes
10218-Sample_100	Oligodendrocytes
10234-Sample_100	VLMCs
10238-Sample_100	Astrocytes
10254-Sample_100	Oligodendrocytes
10274-Sample_100	Astrocytes
10294-Sample_100	Astrocytes
10350-Sample_100	VLMCs
10364-Sample_100	Oligodendrocytes
10365-Sample_100	Oligodendrocytes
10401-Sample_100	Astrocytes
10466-Sample_100	Astrocytes
10470-Sample_100	Astrocytes
10506-Sample_100	Oligodendrocytes
10547-Sample_100	Oligodendrocytes
10561-Sample_100	Exc. Neurons
10563-Sample_100	Oligodendrocytes
10603-Sample_100	Astrocytes
10610-Sample_100	Oligodendrocytes
10618-Sample_100	Oligodendrocytes
10642-Sample_100	Astrocytes
10692-Sample_100	Oligodendrocytes
10881-Sample_100	Microglia
10918-Sample_100	Astrocytes
10960-Sample_100	Oligodendrocytes
10975-Sample_100	Oligodendrocytes
10980-Sample_100	Astrocytes
11040-Sample_100	Astrocytes
11116-Sample_100	OPCs
11132-Sample_100	OPCs
11186-Sample_100	Astrocytes
11187-Sample_100	Astrocytes
11228-Sample_100	Astrocytes
11231-Sample_100	Astrocytes
11261-Sample_100	Astrocytes
11300-Sample_100	Oligodendrocytes
11348-Sample_100	Astrocytes
11380-Sample_100	Oligodendrocytes
11389-Sample_100	Oligodendrocytes
11390-Sample_100	Oligodendrocytes
11401-Sample_100	Oligodendrocytes
11465-Sample_100	Oligodendrocytes
11504-Sample_100	Astrocytes
11506-Sample_100	Oligodendrocytes
11544-Sample_100	Astrocytes
11547-Sample_100	VLMCs
11664-Sample_100	Microglia
11687-Sample_100	Astrocytes
11739-Sample_100	Oligodendrocytes
11857-Sample_100	Exc. Neurons
11880-Sample_100	Astrocytes
11887-Sample_100	Inh. Neurons
11888-Sample_100	OPCs
11900-Sample_100	Oligodendrocytes
11925-Sample_100	Exc. Neurons
11951-Sample_100	Microglia
11961-Sample_100	Astrocytes
12040-Sample_100	Astrocytes
